ID,MA_TAIKHOAN_THANHTOAN,THOIGIAN_GIAODICH,SODU_BANDAU,SOTIEN_TANG,SOTIEN_GIAM,SODU_SAU,LOAITIEN,GHICHU,TAIKHOAN_GUI,TAIKHOAN_NHAN,LOAI_CHUYENKHOAN
1,CASA00169605,2024-01-01 09:00:00,1510000,500000,0,2010000,VND,CASA00169605 2024-01-01 09:00:00,VNC: 0278995674,CASA00169605,inn
2,CASA00169605,2024-01-01 12:05:00,2010000,0,125000,1885000,VND,CASA00169605 2024-01-01 12:05:00.001,CASA00169605,VNC: 0278995600,inn
3,CASA00169605,2024-01-02 10:00:00,1885000,0,150000,1735000,VND,CASA00169605 2024-01-02 10:00:00,CASA00169605,CTG - NAPAS: 8752777745,out
4,CASA00169605,2024-01-03 11:00:00,1735000,200000,0,1935000,VND,CASA00169605 2024-01-03 11:00:00,VNC: 0278995611,CASA00169605,inn
5,CASA00169605,2024-01-04 12:00:00,1935000,0,100000,1835000,VND,CASA00169605 2024-01-04 12:00:00,CASA00169605,BID - NAPAS: 9997654357,out
6,CASA00169605,2024-01-05 09:00:00,1835000,13500000,0,15335000,VND,Tra luong thang: 1,VNC: 0278995699,CASA00169605,inn
7,CASA00169605,2024-01-06 14:00:00,15335000,0,300000,15035000,VND,CASA00169605 2024-01-06 14:00:00,CASA00169605,BID - NAPAS: 9997654311,out
8,CASA00169605,2024-01-06 15:00:00,15035000,700000,0,15735000,VND,CASA00169605 2024-01-07 15:00:00,VNC: 0278995611,CASA00169605,inn
9,CASA00169605,2024-01-09 10:00:00,15735000,0,750000,14985000,VND,CASA00169605 2024-01-08 10:00:00,CASA00169605,VNC: 0278995600,inn
10,CASA00169605,2024-01-09 11:00:00,14985000,300000,0,15285000,VND,CASA00169605 2024-01-09 11:00:00,VNC: 0278995349,CASA00169605,inn
11,CASA00169605,2024-01-10 09:00:00,15285000,0,3000000,12285000,VND,Tra tien thue nha,CASA00169605,CTG - NAPAS: 8752666742,out
12,CASA00169605,2024-01-10 10:00:00,12285000,0,356158,11928842,VND,Tra tien dien nuoc,CASA00169605,CTG - NAPAS: 8752666742,out
13,CASA00169605,2024-01-11 09:00:00,11928842,500000,0,12428842,VND,CASA00169605 2024-01-11 09:00:00,VNC: 0278995611,CASA00169605,inn
14,CASA00169605,2024-01-11 13:55:00,12428842,0,2573545,9855297,VND,Tra tien thuc pham sieu thi,CASA00169605,BID - NAPAS: 9997654310,out
15,CASA00169605,2024-01-12 10:00:00,9855297,0,200000,9655297,VND,CASA00169605 2024-01-12 10:00:00,CASA00169605,BID - NAPAS: 9997654310,out
16,CASA00169605,2024-01-13 11:00:00,9655297,800000,0,10455297,VND,CASA00169605 2024-01-13 11:00:00,VNC: 0278995349,CASA00169605,inn
17,CASA00169605,2024-01-14 12:00:00,10455297,0,100000,10355297,VND,CASA00169605 2024-01-14 12:00:00,CASA00169605,CTG - NAPAS: 8752777742,out
18,CASA00169605,2024-01-15 09:00:00,10355297,412452,0,10767749,VND,CASA00169605 2024-01-15 09:00:00,VNC: 0278995349,CASA00169605,inn
19,CASA00169605,2024-01-16 10:00:00,10767749,0,1200000,9567749,VND,CASA00169605 2024-01-16 10:00:00,CASA00169605,CTG - NAPAS: 8752777742,out
20,CASA00169605,2024-01-17 11:00:00,9567749,1000000,0,10567749,VND,CASA00169605 2024-01-17 11:00:00,BID - NAPAS: 9997654333,CASA00169605,out
21,CASA00169605,2024-01-17 12:00:00,10567749,0,500000,10067749,VND,CASA00169605 2024-01-18 12:00:00,CASA00169605,BID - NAPAS: 9997654311,out
22,CASA00169605,2024-01-20 09:00:00,10067749,700000,0,10767749,VND,CASA00169605 2024-01-19 09:00:00,BID - NAPAS: 9990654311,CASA00169605,out
23,CASA00169605,2024-01-20 10:00:00,10767749,0,250000,10517749,VND,CASA00169605 2024-01-20 10:00:00,CASA00169605,VNC: 0278995600,inn
24,CASA00169605,2024-01-21 11:00:00,10517749,600000,0,11117749,VND,CASA00169605 2024-01-21 11:00:00,VNC: 0278995600,CASA00169605,inn
25,CASA00169605,2024-01-22 12:00:00,11117749,0,350000,10767749,VND,CASA00169605 2024-01-22 12:00:00,CASA00169605,EIB - NAPAS: 1238074732,out
26,CASA00169605,2024-01-23 09:00:00,10767749,312000,0,11079749,VND,CASA00169605 2024-01-23 09:00:00,BID - NAPAS: 9997654333,CASA00169605,out
27,CASA00169605,2024-01-25 10:00:00,11079749,0,253000,10826749,VND,CASA00169605 2024-01-24 10:00:00,CASA00169605,EIB - NAPAS: 1238074732,out
28,CASA00169605,2024-01-25 11:00:00,10826749,150000,0,10976749,VND,CASA00169605 2024-01-25 11:00:00,BID - NAPAS: 9997654333,CASA00169605,out
29,CASA00169605,2024-01-25 12:00:00,10976749,0,300000,10676749,VND,CASA00169605 2024-01-26 12:00:00,CASA00169605,CTG - NAPAS: 8752667841,out
30,CASA00169605,2024-01-27 09:00:00,10676749,500000,0,11176749,VND,CASA00169605 2024-01-27 09:00:00,VNC: 0278995349,CASA00169605,inn
31,CASA00169605,2024-01-28 10:00:00,11176749,0,250000,10926749,VND,CASA00169605 2024-01-28 10:00:00,CASA00169605,BID - NAPAS: 9997654311,out
32,CASA00169605,2024-01-29 11:00:00,10926749,411000,0,11337749,VND,CASA00169605 2024-01-29 11:00:00,CTG - NAPAS: 8752667841,CASA00169605,out
33,CASA00169605,2024-01-30 12:00:00,11337749,0,1500000,9837749,VND,RUT TIEN MAT,CASA00169605,,inn
34,CASA00169605,2024-01-31 09:00:00,9837749,500000,0,10337749,VND,CASA00169605 2024-01-31 09:00:00,VNC: 0278995349,CASA00169605,inn
35,CASA00169605,2024-02-01 10:00:00,10337749,0,300000,10037749,VND,CASA00169605 2024-02-01 10:00:00,CASA00169605,ACB - NAPAS: 7812345666,out
36,CASA00169605,2024-02-02 11:00:00,10037749,250000,0,10287749,VND,CASA00169605 2024-02-02 11:00:00,VNC: 0278995345,CASA00169605,inn
37,CASA00169605,2024-02-03 12:00:00,10287749,0,500000,9787749,VND,CASA00169605 2024-02-03 12:00:00,CASA00169605,EIB - NAPAS: 1238074746,out
38,CASA00169605,2024-02-03 15:00:00,9787749,5000000,0,14787749,VND,Tra no,CTG - NAPAS: 8752666813,CASA00169605,out
39,CASA00169605,2024-02-03 17:30:00,14787749,0,4250000,10537749,VND,TRA TIEN XE ,CASA00169605,CTG - NAPAS: 8752666885,out
40,CASA00169605,2024-02-04 18:35:20,10537749,0,2670000,7867749,VND,TRA TIEN THUC PHAM,CASA00169605,EIB - NAPAS: 1238074746,out
41,CASA00169605,2024-02-05 09:00:00,7867749,13500000,0,21367749,VND,Tra luong thang: 2,VNC: 0278995699,CASA00169605,inn
42,CASA00169605,2024-02-05 10:00:00,21367749,0,3712000,17655749,VND,Tra tien Quan ao,CASA00169605,ACB - NAPAS: 7812345624,out
43,CASA00169605,2024-02-05 17:30:00,17655749,0,13250000,4405749,VND,TRA TIEN hoc phi,CASA00169605,CTG - NAPAS: 8752666841,out
44,CASA00169605,2024-02-10 09:00:00,4405749,200000,0,4605749,VND,Chuc mung nam moi!,VNC: 0278995699,CASA00169605,inn
45,CASA00169605,2024-02-10 10:00:00,4605749,0,300000,4305749,VND,Happy New Year,CASA00169605,ACB - NAPAS: 7812345666,out
46,CASA00169605,2024-02-10 11:00:00,4305749,500000,0,4805749,VND,Happy New Year,VNC: 0278995699,CASA00169605,inn
47,CASA00169605,2024-02-10 12:00:00,4805749,0,500000,4305749,VND,Mung tuoi,CASA00169605,VNC: 0278995345,inn
48,CASA00169605,2024-02-10 13:00:00,4305749,300000,0,4605749,VND,Happy New Year,EIB - NAPAS: 1238074746,CASA00169605,out
49,CASA00169605,2024-02-11 09:00:00,4605749,0,200000,4405749,VND,Chuc mung nam moi!,CASA00169605,VNC: 0278995347,inn
50,CASA00169605,2024-02-11 10:00:00,4405749,500000,0,4905749,VND,Chuc mung nam moi!,EIB - NAPAS: 1238075746,CASA00169605,out
51,CASA00169605,2024-02-11 11:00:00,4905749,0,400000,4505749,VND,Happy New Year,CASA00169605,VNC: 0278995337,inn
52,CASA00169605,2024-02-11 12:00:00,4505749,200000,0,4705749,VND,Chuc mung nam moi!,VNC: 0278995349,CASA00169605,inn
53,CASA00169605,2024-02-11 13:00:00,4705749,0,500000,4205749,VND,Mung tuoi,CASA00169605,BID - NAPAS: 9997654311,out
54,CASA00169605,2024-02-12 09:00:00,4205749,300000,0,4505749,VND,Mung tuoi,VNC: 0278994349,CASA00169605,inn
